run number,time (s),cart_pos (m),cart_vel (m/s),pole_ang (rad),pole_ang_vel (rad/s)
0,0,0.012536752,0.012536752,0.012536752,0.015528049
0,0.02,0.0125446515,0.0125446515,0.0125446515,0.31894985
0,0.04,0.008640516,0.008640516,0.008640516,0.0375057
0,0.06,0.00862851,0.00862851,0.00862851,-0.24184111
0,0.08,0.012506602,0.012506602,0.012506602,-0.52094454
0,0.1,0.02027461,0.02027461,0.02027461,-0.21674849
0,0.12000000000000001,0.024130085,0.024130085,0.024130085,0.08428779
0,0.14,0.024075652,0.024075652,0.024075652,-0.20120102
0,0.16,0.027917054,0.027917054,0.027917054,-0.48614615
0,0.18,0.035653803,0.035653803,0.035653803,-0.18716696
0,0.19999999999999998,0.03948253,0.03948253,0.03948253,0.10880153
0,0.21999999999999997,0.039405853,0.039405853,0.039405853,-0.18175043
0,0.23999999999999996,0.043229673,0.043229673,0.043229673,-0.47161046
0,0.25999999999999995,0.050953362,0.050953362,0.050953362,-0.17727073
0,0.27999999999999997,0.05477313,0.05477313,0.05477313,0.11409671
0,0.3,0.054691657,0.054691657,0.054691657,-0.18100749
0,0.32,0.05851481,0.05851481,0.05851481,0.10995934
0,0.34,0.058437087,0.058437087,0.058437087,-0.18556328
0,0.36000000000000004,0.06226437,0.06226437,0.06226437,0.104952395
0,0.38000000000000006,0.06219119,0.06219119,0.06219119,0.3942862
0,0.4000000000000001,0.058218624,0.058218624,0.058218624,0.09894878
0,0.4200000000000001,0.05815088,0.05815088,0.05815088,-0.19391447
0,0.4400000000000001,0.06198574,0.06198574,0.06198574,0.099212036
0,0.46000000000000013,0.061917752,0.061917752,0.061917752,-0.19424948
0,0.48000000000000015,0.065752916,0.065752916,0.065752916,0.09827983
0,0.5000000000000001,0.06568578,0.06568578,0.06568578,-0.19577919
0,0.5200000000000001,0.06952233,0.06952233,0.06952233,0.096143715
0,0.5400000000000001,0.06945713,0.06945713,0.06945713,0.38682544
0,0.5600000000000002,0.06549131,0.06549131,0.06549131,0.09275881
0,0.5800000000000002,0.06542918,0.06542918,0.06542918,-0.19886924
0,0.6000000000000002,0.069268525,0.069268525,0.069268525,-0.4899096
0,0.6200000000000002,0.07700881,0.07700881,0.07700881,-0.7822092
0,0.6400000000000002,0.0886512,0.0886512,0.0886512,-0.4922389
0,0.6600000000000003,0.09639353,0.09639353,0.09639353,-0.79245764
0,0.6800000000000003,0.10804496,0.10804496,0.10804496,-1.0956616
0,0.7000000000000003,0.12360785,0.12360785,0.12360785,-0.8190503
0,0.7200000000000003,0.13528213,0.13528213,0.13528213,-1.1334347
0,0.7400000000000003,0.15087697,0.15087697,0.15087697,-0.8696715
0,0.7600000000000003,0.16259453,0.16259453,0.16259453,-0.61380714
0,0.7800000000000004,0.17044303,0.17044303,0.17044303,-0.9439822
0,0.8000000000000004,0.18222472,0.18222472,0.18222472,-1.2773197
0,0.8200000000000004,0.19794054,0.19794054,0.19794054,-1.6153833
1,0,0.0007233116,0.0007233116,0.0007233116,-0.00091683894
1,0.02,0.00047068173,0.00047068173,0.00047068173,0.28674594
1,0.04,-0.0036797908,-0.0036797908,-0.0036797908,0.5744047
1,0.06,-0.011728126,-0.011728126,-0.011728126,0.27856866
1,0.08,-0.01587123,-0.01587123,-0.01587123,0.5717007
1,0.1,-0.023917178,-0.023917178,-0.023917178,0.28123003
1,0.12000000000000001,-0.028062664,-0.028062664,-0.028062664,0.57966834
1,0.14,-0.036115747,-0.036115747,-0.036115747,0.29465926
1,0.16,-0.040273298,-0.040273298,-0.040273298,0.013428999
1,0.18,-0.040538926,-0.040538926,-0.040538926,-0.2658631
1,0.19999999999999998,-0.03691451,-0.03691451,-0.03691451,-0.5450711
1,0.21999999999999997,-0.029400067,-0.029400067,-0.029400067,-0.24111715
1,0.23999999999999996,-0.025797933,-0.025797933,-0.025797933,-0.52561927
1,0.25999999999999995,-0.018300854,-0.018300854,-0.018300854,-0.22646488
1,0.27999999999999997,-0.014711933,-0.014711933,-0.014711933,-0.5158949
1,0.3,-0.007223536,-0.007223536,-0.007223536,-0.8067675
1,0.32,0.0041656788,0.0041656788,0.0041656788,-0.5155321
1,0.34,0.011653719,0.011653719,0.011653719,-0.22945176
1,0.36000000000000004,0.015245277,0.015245277,0.015245277,-0.5317609
1,0.38000000000000006,0.022747865,0.022747865,0.022747865,-0.25051296
1,0.4000000000000001,0.026358387,0.026358387,0.026358387,0.027227
1,0.4200000000000001,0.026080271,0.026080271,0.026080271,0.30330276
1,0.4400000000000001,0.021915145,0.021915145,0.021915145,-0.0049368306
1,0.46000000000000013,0.021666154,0.021666154,0.021666154,-0.31136945
1,0.48000000000000015,0.025331823,0.025331823,0.025331823,-0.6178254
1,0.5000000000000001,0.032912094,0.032912094,0.032912094,-0.9261208
1,0.5200000000000001,0.04440828,0.04440828,0.04440828,-0.65399754
1,0.5400000000000001,0.05202023,0.05202023,0.05202023,-0.3881746
1,0.5600000000000002,0.055754326,0.055754326,0.055754326,-0.12687236
1,0.5800000000000002,0.055615325,0.055615325,0.055615325,-0.45011082
1,0.6000000000000002,0.05940496,0.05940496,0.05940496,-0.77402693
1,0.6200000000000002,0.06712341,0.06712341,0.06712341,-0.5193634
1,0.6400000000000002,0.07097426,0.07097426,0.07097426,-0.27021077
1,0.6600000000000003,0.07096351,0.07096351,0.07096351,-0.6035987
1,0.6800000000000003,0.07488904,0.07488904,0.07488904,-0.93834823
1,0.7000000000000003,0.08275108,0.08275108,0.08275108,-1.2761126
1,0.7200000000000003,0.09455023,0.09455023,0.09455023,-1.6184287
2,0,0.035999663,0.035999663,0.035999663,-0.0009959871
2,0.02,0.035276305,0.035276305,0.035276305,-0.30430412
2,0.04,0.038464878,0.038464878,0.038464878,-0.022643203
2,0.06,0.03776113,0.03776113,0.03776113,0.25701854
2,0.08,0.033166982,0.033166982,0.033166982,0.5365353
2,0.1,0.024682533,0.024682533,0.024682533,0.8177493
2,0.12000000000000001,0.012306044,0.012306044,0.012306044,1.1024654
2,0.14,-0.0039658635,-0.0039658635,-0.0039658635,0.8070831
2,0.16,-0.016333079,-0.016333079,-0.016333079,1.1039523
2,0.18,-0.032606356,-0.032606356,-0.032606356,1.4057565
2,0.19999999999999998,-0.05278959,-0.05278959,-0.05278959,1.1296495
2,0.21999999999999997,-0.06908394,-0.06908394,-0.06908394,1.4462397
2,0.23999999999999996,-0.089299686,-0.089299686,-0.089299686,1.1872059
